,ACQ_BOOKEDDATE,ACQ_BEDVALUE_Mean,Customers_count,LIFETIME_BEDVALUE_mean,ACQ_BEDVALUE/Domestic/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Domestic/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/7+ Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/7+ Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/7+ Nights/,CUSTOMER_ID/Domestic/DESKTOP/1-2 Nights/,CUSTOMER_ID/Domestic/DESKTOP/3-4 Nights/,CUSTOMER_ID/Domestic/DESKTOP/5-6 Nights/,CUSTOMER_ID/Domestic/DESKTOP/7+ Nights/,CUSTOMER_ID/Domestic/MOBILE/1-2 Nights/,CUSTOMER_ID/Domestic/MOBILE/3-4 Nights/,CUSTOMER_ID/Domestic/MOBILE/5-6 Nights/,CUSTOMER_ID/Domestic/MOBILE/7+ Nights/,CUSTOMER_ID/Long Haul/DESKTOP/1-2 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/3-4 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/5-6 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/7+ Nights/,CUSTOMER_ID/Long Haul/MOBILE/1-2 Nights/,CUSTOMER_ID/Long Haul/MOBILE/3-4 Nights/,CUSTOMER_ID/Long Haul/MOBILE/5-6 Nights/,CUSTOMER_ID/Long Haul/MOBILE/7+ Nights/,CUSTOMER_ID/Short Haul/DESKTOP/1-2 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/3-4 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/5-6 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/7+ Nights/,CUSTOMER_ID/Short Haul/MOBILE/1-2 Nights/,CUSTOMER_ID/Short Haul/MOBILE/3-4 Nights/,CUSTOMER_ID/Short Haul/MOBILE/5-6 Nights/,CUSTOMER_ID/Short Haul/MOBILE/7+ Nights/
20,2018-09-24,518.9573,1184,8599.9313,0.6204,0.9376,3.4414,1.0825,0.4721,1.0581,0.5864,2.2734,0.9094,1.5102,2.9181,4.1737,0.8251,1.6493,0.9648,2.35,0.6484,1.4291,2.2772,4.1838,0.5656,1.417,2.9838,2.0319,0.1056,0.0279,0.0034,0.0034,0.136,0.0228,0.0034,0.0042,0.1275,0.0642,0.0135,0.0127,0.0372,0.0203,0.0068,0.0034,0.1782,0.0574,0.0177,0.0101,0.1022,0.0329,0.0059,0.0034
21,2018-09-25,540.8288,1077,8263.3333,0.591,0.9769,1.9035,0.7937,0.4692,0.6874,1.1763,2.9459,0.7408,1.6731,1.6877,2.7192,0.5658,0.9481,1.3685,6.6262,0.8335,1.725,1.6421,4.3892,0.7119,1.261,3.1099,1.3754,0.1021,0.0232,0.0056,0.0037,0.1467,0.0232,0.0084,0.0065,0.1207,0.0761,0.0149,0.0121,0.0297,0.0121,0.0046,0.0037,0.1643,0.0557,0.0186,0.0111,0.1188,0.0297,0.0056,0.0028
22,2018-09-26,540.9288,999,8948.3459,0.5955,1.0465,1.6807,3.6832,0.4742,0.9575,1.12,2.2581,0.7214,1.443,1.438,3.8537,0.7755,1.3078,1.455,2.18,0.8102,1.771,2.4136,5.9614,0.6187,1.4524,2.8092,2.4971,0.0921,0.023,0.008,0.002,0.1481,0.019,0.012,0.003,0.1121,0.0801,0.017,0.007,0.035,0.024,0.005,0.003,0.1552,0.0751,0.016,0.004,0.1121,0.037,0.006,0.004
23,2018-09-27,548.8721,1158,8534.6317,0.5063,1.2328,1.495,0.829,0.4646,1.027,1.3132,3.5356,0.6414,1.4429,3.3605,2.0535,0.486,1.8421,1.9156,1.0627,0.6729,1.5043,2.8129,6.5329,0.6167,0.9416,1.1674,2.6579,0.063,0.0311,0.0026,0.0043,0.1123,0.0363,0.0086,0.0017,0.1364,0.0812,0.0147,0.0086,0.0466,0.0199,0.0035,0.0052,0.1667,0.0717,0.0121,0.0147,0.1105,0.038,0.006,0.0043
24,2018-09-28,540.8886,1347,8844.1374,0.677,1.5541,1.3769,2.3765,0.3734,0.8671,1.5795,1.484,0.6268,1.4412,2.0324,2.086,0.5554,1.3386,2.8643,2.9251,0.8265,1.6717,2.6674,2.772,0.6192,1.9476,2.3929,3.2369,0.0883,0.023,0.0074,0.0007,0.1158,0.026,0.0045,0.0007,0.1321,0.0787,0.0193,0.0119,0.0349,0.0097,0.0059,0.0037,0.1804,0.0757,0.0186,0.0089,0.1195,0.0267,0.0022,0.0052
25,2018-09-29,558.3404,1225,8363.0425,0.6311,1.1861,3.0102,1.1958,0.3857,1.3899,1.0599,1.755,0.7664,1.3888,1.4156,2.7444,0.5356,1.5638,6.1406,5.818,0.7206,1.7347,2.4304,1.6821,0.5793,1.4343,1.7473,1.8233,0.089,0.0269,0.0065,0.0073,0.1176,0.0253,0.0049,0.0057,0.1322,0.0727,0.0147,0.0131,0.031,0.0188,0.0024,0.0016,0.1559,0.0824,0.0188,0.0082,0.111,0.0482,0.0033,0.0024
26,2018-09-30,529.6708,1238,8272.1175,0.5522,1.4818,1.1099,3.9353,0.549,1.0721,0.3633,1.6111,0.6395,1.8312,2.9715,2.0475,0.7038,1.1469,1.6969,2.6627,0.8866,1.5381,1.5135,2.3765,0.6112,1.5477,1.2664,2.097,0.0856,0.0234,0.004,0.0032,0.1494,0.0258,0.004,0.0024,0.1252,0.0606,0.0162,0.0089,0.0363,0.0097,0.0048,0.0032,0.1712,0.0824,0.0178,0.0129,0.105,0.0388,0.0048,0.004
27,2018-10-01,507.0933,1201,8162.7065,0.5143,0.9672,1.8076,1.3564,0.5173,1.099,2.8202,2.1112,0.7281,1.8354,2.0731,1.9699,0.6149,0.9391,1.4156,0.0,0.8125,1.5017,1.5254,2.3874,0.6879,1.7902,4.7004,2.2622,0.0841,0.0275,0.0083,0.0033,0.1374,0.0308,0.0067,0.0025,0.1166,0.0741,0.01,0.0117,0.0316,0.0133,0.0025,0.0,0.1724,0.0733,0.0142,0.0083,0.1274,0.0333,0.0075,0.0033
28,2018-10-02,523.3101,1134,8108.6505,0.4748,1.196,0.5819,4.4526,0.4675,1.1346,1.393,2.1015,0.6977,1.6959,3.9647,2.9143,0.4928,1.6363,1.6194,1.633,0.6453,1.5846,1.923,4.3047,0.8031,1.0821,2.1671,2.5332,0.1243,0.0344,0.0079,0.0053,0.1349,0.0265,0.0106,0.0044,0.0944,0.0564,0.0141,0.0115,0.0353,0.0141,0.0035,0.0026,0.1534,0.0758,0.0132,0.0115,0.1182,0.037,0.0071,0.0035
29,2018-10-03,542.5755,1018,8391.624,0.5208,0.9014,2.9311,2.0681,0.4855,0.867,1.2409,3.4571,0.6338,1.284,1.8784,4.0467,0.6854,4.197,1.6436,2.1437,0.6705,1.818,2.136,1.5882,0.6277,1.5201,2.8715,1.0482,0.0835,0.0206,0.0079,0.0029,0.1454,0.0334,0.0059,0.0069,0.0972,0.0648,0.0108,0.0098,0.053,0.0108,0.0059,0.0039,0.1591,0.0864,0.0187,0.0098,0.113,0.0422,0.0059,0.002
